법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,제개정구분명,소관부처코드,소관부처명,법령구분명,공동부령정보,시행일자,자법타법여부,법령상세링크
287209,현행,해양경찰청과 그 소속기관 직제,,012916,20260623,36423,타법개정,"1532000,1741000","해양경찰청,행정안전부",대통령령,,20260701,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=287209&type=HTML&mobileYn=&efYd=20260701
285035,현행,해양경찰청과 그 소속기관 직제 시행규칙,,012948,20260324,00789,일부개정,1532000,해양경찰청,해양수산부령,,20260423,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=285035&type=HTML&mobileYn=&efYd=20260423
267017,현행,해양경찰청 소속 경찰공무원 교육훈련규정,,014123,20241210,35062,일부개정,1532000,해양경찰청,대통령령,,20241210,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=267017&type=HTML&mobileYn=&efYd=20241210
266095,현행,해양경찰청 소속 경찰공무원 복제에 관한 규칙,,008669,20241021,00696,일부개정,1532000,해양경찰청,해양수산부령,,20241021,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=266095&type=HTML&mobileYn=&efYd=20241021
283961,현행,해양경찰청 소속 경찰공무원 임용에 관한 규정,,011449,20260310,36174,일부개정,1532000,해양경찰청,대통령령,,20260310,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=283961&type=HTML&mobileYn=&efYd=20260310
285247,현행,해양경찰청 소속 경찰공무원 임용에 관한 규정 시행규칙,,013803,20260330,00791,일부개정,1532000,해양경찰청,해양수산부령,,20260330,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=285247&type=HTML&mobileYn=&efYd=20260330
268629,현행,해양경찰청 소속 경찰공무원 특수지근무수당 지급규칙,,006241,20250117,00717,일부개정,1532000,해양경찰청,해양수산부령,,20250117,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=268629&type=HTML&mobileYn=&efYd=20250117
228157,현행,해양공간계획 및 관리에 관한 법률,해양공간계획법,013115,20210105,17857,타법개정,1192000,해양수산부,법률,,20210706,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=228157&type=HTML&mobileYn=&efYd=20210706
265205,현행,해양공간계획 및 관리에 관한 법률 시행령,해양공간계획법 시행령,013465,20240910,34885,타법개정,1192000,해양수산부,대통령령,,20250501,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=265205&type=HTML&mobileYn=&efYd=20250501
233655,현행,해양공간계획 및 관리에 관한 법률 시행규칙,해양공간계획법 시행규칙,013467,20210630,00486,타법개정,1192000,해양수산부,해양수산부령,,20210630,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=233655&type=HTML&mobileYn=&efYd=20210630
224669,현행,해양과학조사법,,000749,20201222,17750,일부개정,1192000,해양수산부,법률,,20210623,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=224669&type=HTML&mobileYn=&efYd=20210623
278031,현행,해양과학조사법 시행령,,005578,20251001,35811,타법개정,1192000,해양수산부,대통령령,,20251001,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=278031&type=HTML&mobileYn=&efYd=20251001
233657,현행,해양과학조사법 시행규칙,,008674,20210630,00486,타법개정,1192000,해양수산부,해양수산부령,,20210630,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=233657&type=HTML&mobileYn=&efYd=20210630
259273,현행,해양교육 및 해양문화의 활성화에 관한 법률,해양교육문화법,013686,20240123,20126,타법개정,1192000,해양수산부,법률,,20250124,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=259273&type=HTML&mobileYn=&efYd=20250124
270139,현행,해양교육 및 해양문화의 활성화에 관한 법률 시행령,해양교육문화법 시행령,014022,20250325,35396,타법개정,1192000,해양수산부,대통령령,,20260326,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=270139&type=HTML&mobileYn=&efYd=20260326
